padd,model,split,mae_kb,rmse_kb,r2,n
1,constrained_level,cv,3157.0421059138253,4057.156373590205,0.5144736626403826,120
1,constrained_level,holdout,3246.0721658203497,4156.179860758386,0.19557726455209534,24
1,forecast_flow_identity,cv,2867.908155938808,3618.219932957099,0.6138471690293168,120
1,forecast_flow_identity,holdout,2215.0775251905793,2628.1646277942,0.6783372273495359,24
1,neural_network_change,cv,3014.966429483701,3773.262900018433,0.580044348246874,120
1,neural_network_change,holdout,2698.482436752023,3207.215170764728,0.5209819654477494,24
1,persistence,cv,3322.9333333333334,4129.598087788528,0.49698044163023436,120
1,persistence,holdout,3407.5833333333335,4606.563379208699,0.011788801812464444,24
1,polynomial_ridge_change,cv,3023.0279560110666,4160.404207790269,0.48944756329665073,120
1,polynomial_ridge_change,holdout,2797.435057790603,3518.634378453882,0.42344073872805643,24
1,random_forest_change,cv,2766.25182330066,3514.4557154114136,0.6356779559268918,120
1,random_forest_change,holdout,2599.5819789372904,3115.3325463121664,0.5480353232586205,24
1,ridge_change,cv,3040.6900344109727,3880.545521873296,0.5558242296476121,120
1,ridge_change,holdout,2862.2067484757913,3619.515814177432,0.3899061792693924,24
1,seasonal_naive,cv,4701.6,5802.761283791249,0.006795430643395939,120
1,seasonal_naive,holdout,2636.1666666666665,3171.3830841868767,0.5316256750726913,24
1,seasonal_ridge_change,cv,3023.0279560110666,4160.404207790268,0.48944756329665096,120
1,seasonal_ridge_change,holdout,2797.435057790605,3518.634378453882,0.4234407387280563,24
1,selected_padd_models,cv,2739.8263346354165,3495.094501319247,0.6396810153601828,120
1,selected_padd_models,holdout,2680.71630859375,3137.803481824686,0.5414917540666182,24
1,spline_ridge_change,cv,2771.4707915554964,3576.2766249346446,0.6227480376001349,120
1,spline_ridge_change,holdout,2789.745844384843,3550.39988348825,0.4129836324838356,24
1,xgboost_change,cv,2739.8263346354165,3495.094501319247,0.6396810153601828,120
1,xgboost_change,holdout,2680.71630859375,3137.803481824686,0.5414917540666182,24
2,constrained_level,cv,2184.6589576693277,2735.56158617754,0.6432829772627704,120
