padd,intercept_kb,stock_lag1,lag_production_kb,lag_demand_kb,lag_imports_kb,lag_exports_kb,lag_net_receipts_kb,lag_adjustments_kb,lag_biofuels_kb
1,-982.6310560863494,0.592176624167206,0.6629488011801072,0.20308129237452796,0.24033987698077272,0.5582806602744229,0.44985560064001845,0.4506763214760474,0.0
2,6408.441738450092,0.6472400125109046,0.4898602700150737,0.32256739092867914,0.0,0.27140953216799785,0.38860233911459496,0.23430073437298082,0.0
3,30804.06844471764,0.49235763443789315,0.29423511237872124,0.1735843391935944,0.0,0.0,0.3068121055190919,0.0,0.0
4,1238.7009316799986,0.7042307919361415,0.2055276806972111,0.12166267393708562,0.0,0.0,0.031533349432677917,0.0,0.0
5,15871.185258214602,0.4863821530543703,0.3798468041510621,0.411839245114213,0.3522814123114758,0.0,0.46560793884484675,0.041785755468147306,0.0
